iso3_country,geometry
SXM,POINT (-63.06232564490602 18.038231061183563)
SYC,POINT (51.75568236798691 -6.769390163828499)
SYR,POINT (38.526772668028656 35.024601566892954)
TCA,POINT (-71.82428196983723 21.75802213521389)
TCD,POINT (18.666657198564224 15.364774721024206)
TGO,POINT (0.9791731492926258 8.535861150501457)
THA,POINT (101.01429146021466 15.11062763492695)
TJK,POINT (71.03755827329883 38.52893682245823)
TKL,POINT (-171.78246920830986 -9.06880074095166)
TKM,POINT (59.17907949107386 39.19257325682147)
TLS,POINT (125.85197895909614 -8.820334047267691)
TON,POINT (-174.8216048145465 -19.856708924619237)
TTO,POINT (-61.259290178281674 10.47397939477248)
TUN,POINT (9.578835409650964 34.11116852762702)
TUR,POINT (35.17630521885622 39.059952915967436)
TUV,POINT (178.0939571252013 -7.582034582488786)
TWN,POINT (120.95658614300791 23.752633173780648)
TZA,POINT (34.82586662024803 -6.26610354588855)
UGA,POINT (32.391931686465796 1.2809679271381749)
UKR,POINT (31.40550891896665 49.00892092452334)
UMI,POINT (-98.43050422727131 15.923164127738367)
URY,POINT (-56.018311142641025 -32.79502465335011)
USA,POINT (-112.4709372360601 45.67643891453739)
UZB,POINT (63.17138224312311 41.75063764312906)
VAT,POINT (12.45286091133719 41.90354023766729)
VCT,POINT (-61.20068812448317 13.200474018950858)
VEN,POINT (-66.14590924528031 7.133563751145866)
VGB,POINT (-64.51844711332656 18.502844848133456)
VIR,POINT (-64.80277288860371 17.971698967681686)
VNM,POINT (106.30808008323234 16.64558026091718)
VUT,POINT (167.72119606668787 -16.211281809638333)
WLF,POINT (-177.10547839947978 -13.7667102467293)
WSM,POINT (-172.17202673150956 -13.744717070186928)
XKX,POINT (20.877197284779605 42.571409894901365)
YEM,POINT (47.584183875402495 15.904940649085168)
ZAF,POINT (25.086903531863964 -28.996292526363547)
ZMB,POINT (27.790373610246252 -13.457175439220826)
ZNC,POINT (33.599333647574866 35.277828463791906)
ZWE,POINT (29.870843132438527 -19.00056797672927)
