city_id,name,geometry
ghs-fua_3973,Gualeguaychu,POINT (-58.543785685005474 -33.017608929906224)
ghs-fua_4008,Concepción del Uruguay,POINT (-58.26415001660624 -32.48554282258933)
ghs-fua_4077,Luján,POINT (-59.11972440642642 -34.564165677834126)
ghs-fua_4215,Buenos Aires,POINT (-58.58373876477654 -34.76939360311044)
ghs-fua_4249,Posadas,POINT (-55.880756713249106 -27.430146646977473)
ghs-fua_4315,Río Gallegos,POINT (-69.23725005106343 -51.6338352682607)
ghs-fua_4349,La Plata,POINT (-57.99090953852717 -34.922578398090714)
ghs-fua_4382,Tandil,POINT (-59.13762015750203 -37.31733726914297)
ghs-fua_4415,Oberá,POINT (-55.110768898014534 -27.503392106979785)
ghs-fua_4448,Eldorado,POINT (-54.60403365007833 -26.40297874044586)
ghs-fua_4481,Necochea,POINT (-58.725476856102155 -38.5541421547065)
ghs-fua_4514,Mar del Plata,POINT (-57.62739654350051 -37.992681499340854)
ghs-fua_4547,Rio Grande,POINT (-67.73444963693275 -53.77863589562913)
ghs-fua_4580,Ushuaia,POINT (-68.2988124166501 -54.806569425170125)
ghs-fua_509,San Salvador de Jujuy,POINT (-65.29179540701664 -24.207745099688374)
ghs-fua_652,Salta,POINT (-65.45935809534932 -24.830411729821336)
ghs-fua_788,La Rioja,POINT (-66.85634100984785 -29.418944080934036)
ghs-fua_919,San Martín,POINT (-68.48716652355873 -33.07339075734914)
ghs-fua_197,Vanadzor,POINT (44.50147097535104 40.80548376477112)
ghs-fua_359,Yerevan,POINT (44.47889493465594 40.17930985775511)
ghs-fua_6,Gyumri,POINT (43.84148881541539 40.784713273410226)
ghs-fua_1043,Ballarat,POINT (143.88150077960526 -37.506675963658736)
ghs-fua_1266,Melbourne,POINT (145.0880849062456 -37.799467281461474)
ghs-fua_1369,Woden,POINT (149.13115873832797 -35.370566034722806)
ghs-fua_1468,Belconnen,POINT (149.0956885672679 -35.218336591629686)
ghs-fua_1562,Wollongong,POINT (150.86085763487517 -34.493035789006804)
ghs-fua_1653,Campbelltown,POINT (150.70418325705168 -34.11271716427902)
ghs-fua_1830,Sydney,POINT (150.99316059182524 -33.75246380355029)
ghs-fua_1912,Newcastle,POINT (151.6369197414569 -32.89830315379064)
ghs-fua_198,Rockingham,POINT (115.80313395652006 -32.30539244264135)
ghs-fua_1991,Toowoomba,POINT (151.90332095991732 -27.529647743311155)
ghs-fua_2066,Aitkenvale,POINT (146.72051724723693 -19.29542484842878)
ghs-fua_2141,Cairns,POINT (145.71169625194315 -16.90993482537847)
ghs-fua_2286,Gold Coast,POINT (153.37405120733598 -28.123735712290934)
ghs-fua_2355,Brisbane,POINT (152.99258058001593 -27.52240101929213)
ghs-fua_2622,Maroochydore,POINT (153.02424260315644 -26.679644920426753)
ghs-fua_360,Perth,POINT (115.94206710027828 -31.88856150120516)
ghs-fua_510,Hobart,POINT (147.3214596428863 -42.83670638496499)
ghs-fua_7,Mandurah,POINT (115.75977111851007 -32.56466969009792)
ghs-fua_789,Adelaide,POINT (138.72736289888832 -34.831054699801186)
ghs-fua_920,Geelong,POINT (144.31122715891019 -38.18951755271428)
ghs-fua_199,Salzburg,POINT (13.085176459648022 47.79686562785074)
ghs-fua_361,Linz,POINT (14.326470078046075 48.2776085927094)
ghs-fua_511,Klagenfurt,POINT (14.29804107605903 46.643953096813405)
ghs-fua_654,Graz,POINT (15.449433610256632 47.04576180185173)
ghs-fua_790,Vienna,POINT (16.3594448838974 48.17208362603794)
ghs-fua_8,Innsbruck,POINT (11.401393677611267 47.23956700540486)
ghs-fua_1044,Saatli,POINT (48.374076467273476 39.9394110901471)
ghs-fua_1158,Sabirabad,POINT (48.484162111493404 40.017604241237166)
ghs-fua_1267,Cəlilabad,POINT (48.509729542492884 39.21083357555247)
ghs-fua_1370,Şirvan,POINT (48.92200771399437 39.956859164610826)
ghs-fua_1469,Masallı,POINT (48.6708782270597 39.03061976070519)
ghs-fua_1654,Lankaran,POINT (48.82604925470059 38.744542671088396)
ghs-fua_1744,Baku,POINT (49.824941905006995 40.45935720217105)
ghs-fua_200,Ganja,POINT (46.354729109655196 40.68786031769148)
ghs-fua_362,Sheki,POINT (47.170462807967965 41.19625275222317)
ghs-fua_512,Mingachevir,POINT (47.0328974407331 40.75398175515914)
ghs-fua_655,Barda,POINT (47.132203329682945 40.3798609780108)
ghs-fua_791,Kurdamir,POINT (48.17196099443326 40.35093845163907)
ghs-fua_9,Nakhchivan,POINT (45.41651625210767 39.203045994228184)
ghs-fua_921,Shamakhi,POINT (48.64351666151012 40.62798508385766)
ghs-fua_10,Rugombo,POINT (29.08358342418075 -2.814946307532509)
ghs-fua_1045,Kayanza,POINT (29.626748446771007 -2.926672340294945)
ghs-fua_1159,Makamba,POINT (29.804770137877558 -4.1422745818006526)
ghs-fua_1268,Ngozi,POINT (29.820470598016787 -2.909516289030699)
ghs-fua_1371,Gitega,POINT (29.930135187620348 -3.4337769502679545)
ghs-fua_1470,Kayogoro,POINT (29.942101526316357 -4.117177857206735)
ghs-fua_1564,Kirundo,POINT (30.091973638946783 -2.5897431529503474)
ghs-fua_1655,Ruyigi,POINT (30.249126961934277 -3.4733180221105413)
ghs-fua_1745,Butihinda,POINT (30.321361420039224 -2.7149610418271073)
ghs-fua_1832,Muyinga,POINT (30.339899546329605 -2.846503021211511)
ghs-fua_201,Gatumba,POINT (29.25747668908092 -3.335271935088805)
ghs-fua_363,Bujumbura,POINT (29.36559939118397 -3.378256281591577)
ghs-fua_513,Bubanza,POINT (29.395813342703946 -3.081975254217948)
ghs-fua_656,Rumonge,POINT (29.44101455807109 -3.975418117982933)
ghs-fua_792,Nyanza Lac,POINT (29.613246867628227 -4.340631020302503)
ghs-fua_922,Muramvya,POINT (29.621655960730745 -3.267523364559165)
ghs-fua_11,Bredene,POINT (2.9111074075037378 51.16414485201242)
ghs-fua_1160,Antwerp,POINT (4.479246556261313 51.20371962313341)
