reporting_entity,iso3_country,climate_trace_sector,Gas,unit,carbon_eq,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,inv_to_ct_ratio_2015,inv_to_ct_ratio_2016,inv_to_ct_ratio_2017,inv_to_ct_ratio_2018,inv_to_ct_ratio_2019,inv_to_ct_ratio_2020,inv_to_ct_ratio_2021,inv_to_ct_ratio_2022,sect_ratio_2015,sect_ratio_2016,sect_ratio_2017,sect_ratio_2018,sect_ratio_2019,sect_ratio_2020,sect_ratio_2021,sect_ratio_2022
pik-tp,USA,electricity-generation,co2e,tonnes,100-year,2201690866.489262,2158281762.792672,2179789248.136462,2173405133.2957897,2185682522.925034,2253261997.133473,2189286959.523358,2279777422.381313,2251913956.456211,2072466193.6584036,2154744291.1502004,2092670199.8932192,1974686180.8383863,1937225426.233769,1956754212.427016,1866369686.8179727,1740888388.564471,1674710510.282083,1692427446.218276,1505498144.63816,1256492471.2371542,1282696309.4532743,,,,,,,,,,1.0344353782301539,1.0139105025756905,1.0077465541338189,1.0132864135477118,0.9668217851695328,0.8916327737056907,0.8667704443424428,
climate-trace,RUS,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,RUS,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,RUS,electricity-generation,n2o,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,RUS,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,572597000.0,575110000.0,566456000.0,573672000.0,577626000.0,530002000.0,572691000.0,591967000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
carbon-monitor,RUS,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,,,,,840398820.0,787057420.0,824016040.0,832970330.0,,,,,,,,,,,,,1.4549186151592899,1.4850083961947314,1.4388492922012044,1.4071229139462167
carbon-monitor,RUS,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,,,,,840398820.0,787057420.0,824016040.0,832970330.0,,,,,,,,,,,,,1.4549186151592899,1.4850083961947314,1.4388492922012044,1.4071229139462167
pik-tp,RUS,electricity-generation,ch4,tonnes,100-year,-6082086.400544004,-1477504.2313080058,1143509.5149240233,1942992.0931120026,4055741.699352008,9586646.68374001,11526037.492088024,17052180.97839204,24971468.471068066,33290756.585071992,37103684.991044,39837574.67891598,49998682.036603995,59176725.964159995,65801778.63100798,74153220.31768,80405835.84297599,101674826.395324,98575192.31624398,99228596.91984402,139682975.45290908,143105132.75064668,,,,,,,,,,,,,,,,,
pik-tp,RUS,electricity-generation,co2,tonnes,100-year,1078110293.66,1060249999.81,1062988502.4399999,1128221469.77,1119852515.97,1139197753.05,1144293153.2,1119568202.73,1127840110.23,1047712359.91,1080723377.28,1138648287.53,1149512843.15,1065238399.05,1061515916.5600001,1028443287.85,1058105046.8,1008656980.23,1055501000.57,991145948.44,1085746644.1770897,1229185365.0091703,,,,,,,,,,1.796103171777009,1.8398307224704837,1.7806448872110103,1.839903290678297,1.715895663353104,2.048570843463024,2.14633260346185,
pik-tp,RUS,electricity-generation,n2o,tonnes,100-year,1259967.2724650002,1290966.0908100004,1013109.033075,1080845.9732499998,1053262.6349649995,960580.194595,1024888.89231,1177809.885855,1190772.8691250004,641160.6184799998,1097831.1485149998,1594367.8794599995,2071827.74721,2068489.21944,1684370.26618,1782406.282395,1858230.5532550002,1972149.4406650001,1832711.9380900003,1855312.444010001,3001530.314919722,3911133.6530224504,,,,,,,,,,,,,,,,,
pik-tp,RUS,electricity-generation,co2e,tonnes,100-year,1073288174.531921,1060063461.6695019,1065145120.987999,1131245307.836362,1124961520.304317,1149744979.928335,1156844079.584398,1137798193.594247,1154002351.570193,1081644277.113552,1118924893.419559,1180080230.088376,1201583352.933814,1126483614.2336,1129002065.4571881,1104378914.450075,1140369113.196231,1112303956.065989,1155908904.8243341,1092229857.803854,1228431149.9449184,1376201631.4128394,,,,,,,,,,1.9287193513938685,1.9828712997447981,1.9636193385999778,2.0149299683866984,1.8908945542684263,2.317785876175785,2.4030439301697415,
climate-trace,IND,electricity-generation,ch4,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,IND,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,999118000.0,1000767000.0,1031634000.0,1078075000.0,1065943000.0,1011575000.0,1132673000.0,1217971000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,IND,electricity-generation,n2o,tonnes,100-year,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
climate-trace,IND,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,999118000.0,1000767000.0,1031634000.0,1078075000.0,1065943000.0,1011575000.0,1132673000.0,1217971000.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unfccc_non_annex_1,IND,electricity-generation,ch4,tonnes,100-year,194880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331800.0,0.0,0.0,0.0,0.0,0.0,448000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
unfccc_non_annex_1,IND,electricity-generation,co2,tonnes,100-year,541191330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876180800.0,0.0,0.0,0.0,0.0,0.0,1200736000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.1998157413264026,0.0,0.0,0.0,0.0,,
unfccc_non_annex_1,IND,electricity-generation,n2o,tonnes,100-year,2061700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3195900.0,0.0,0.0,0.0,0.0,0.0,4770000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
unfccc_non_annex_1,IND,electricity-generation,co2e,tonnes,100-year,543447910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879708500.0,0.0,0.0,0.0,0.0,0.0,1205954000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.205029742187742,0.0,0.0,0.0,0.0,,
carbon-monitor,IND,electricity-generation,co2,tonnes,100-year,,,,,,,,,,,,,,,,,,,,1197643100.0,1162965420.0,1275079010.0,1387013030.0,,,,,,,,,,,,,1.1235526665121869,1.1496581271779156,1.125725615424752,1.1387898644549008
carbon-monitor,IND,electricity-generation,co2e,tonnes,100-year,,,,,,,,,,,,,,,,,,,,1197643100.0,1162965420.0,1275079010.0,1387013030.0,,,,,,,,,,,,,1.1235526665121869,1.1496581271779156,1.125725615424752,1.1387898644549008
edgar,IND,electricity-generation,ch4,tonnes,100-year,153980.262184,156811.29108400003,164042.696216,176979.32644,189704.065096,189878.65654799997,200667.273828,225647.54858799998,226883.64510000002,269615.779272,280361.69504,276777.178776,286415.1402,276980.40669599996,302403.95108,299051.51388,298961.16516,312359.82428,324401.02548,316053.79511999997,294721.58324,308013.20508,319337.5024,,,,,,,,,,,,,,,,
edgar,IND,electricity-generation,co2,tonnes,100-year,459143805.8,471948101.7,479405708.2,501598434.5,548321363.3,561403518.8,596730088.0,658464357.5,684655573.3000001,758498108.6,785470199.9,818995341.8000001,946155832.4,962551522.7,1077498224.0,1055398055.0,1044048050.0,1098781495.0,1197158002.0,1163774802.0,1056851223.0,1165866957.0,1255055815.0,,,,,,,,,1.056329737828765,1.0432478788769015,1.06508848583897,1.1104589216891219,1.091779581084542,1.0447581474433434,1.0293058605616978,1.0304480279087105
edgar,IND,electricity-generation,n2o,tonnes,100-year,2175288.5877,2207820.86379,2207624.9355099997,2276573.25349,2773731.79925,2893273.60665,3168145.5165000004,3676346.24285,3962242.85495,4511276.10365,4484555.64485,4760305.5262,5808417.16245,5805164.2265,6598597.485549999,6260722.14635,6465200.07895,6712552.3615500005,7495957.2627,7272135.77435,5934707.685099999,6602556.037,7147515.27905,,,,,,,,,,,,,,,,
edgar,IND,electricity-generation,co2e,tonnes,100-year,461473074.64988405,474312733.85487396,481777375.83172596,504051987.07992995,551284799.164346,564486671.063198,600098900.790328,662366351.291438,688844699.80005,763279000.482922,790235117.23989,824032424.5049762,952250664.70265,968633667.333196,1084399225.43663,1061957828.66023,1050812211.24411,1105806407.18583,1204978360.28818,1171362991.56947,1063080652.26834,1172777526.24208,1262522667.78145,,,,,,,,,1.0628953023168735,1.050006855985569,1.071897986287608,1.1177129237652113,1.0988983384378619,1.0509162961405136,1.0354069764548814,1.0365785948774233
pik-tp,IND,electricity-generation,ch4,tonnes,100-year,57815618.0,105193872.0,107387683.2,111632127.60000001,114601295.2,116111461.2,115548969.2,121400392.39999999,129468617.60000001,143688893.59999996,141794553.6,149460967.6,149286653.59999996,116742740.8,118789666.79999998,119179278.39999999,111829541.60000001,120111448.79999998,115628511.60000002,0.0,106120000.0,112000000.0,,,,,,,,,,,,,,,,,
pik-tp,IND,electricity-generation,co2,tonnes,100-year,574025110.0,987386290.0,999649040.0,1044227800.0,1106353200.0,1164388100.0,1239754800.0,1325160000.0,1450117800.0,1611634900.0,1050016420.0,1723369600.0,1894753100.0,1907664500.0,2114214400.0,2207408200.0,1391403000.0,2342785900.0,2468751800.0,2463796100.0,2330000000.0,2610000000.0,,,,,,,,,,2.2093568527441203,1.390336611818735,2.2709467698815664,2.2899629432089603,2.311376968562109,2.303338852779082,2.304283760626412,
pik-tp,IND,electricity-generation,n2o,tonnes,100-year,4793062.42,13096507.23,13378566.075,13506177.62,14390475.465,14548553.265,14938883.955,15907669.100000001,16579404.615000002,17887794.680000003,9049763.25,19864339.05,21090589.450000003,21111752.35,21968876.3,21601443.200000003,8702430.399999999,22560382.8,23143719.349999998,0.0,26102500.0,27825000.0,,,,,,,,,,,,,,,,,
pik-tp,IND,electricity-generation,co2e,tonnes,100-year,636633790.42,1105676669.23,1120415289.275,1169366105.22,1235344970.665,1295048114.4650002,1370242653.155,1462468061.5,1596165822.215,1773211588.28,1200860736.85,1892694906.6499999,2065130343.05,2045518993.1499999,2254972943.1,2348188921.6,1511934972.0,2485457731.6000004,2607524030.95,2463796100.0,2462222500.0,2749825000.0,,,,,,,,,,2.3502618525539525,1.5107762066494999,2.4092437158914892,2.4186851851216287,2.311376968562109,2.4340483898870575,2.42773068661476,
