iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
CHN,transportation,domestic-aviation,domestic,3174819,Wuhan Tianhe International Airport,1093284.6953559883,1155233.5993487232,,1254777.6499467476,1348002.720599769,879379.7434109955,,1390714.078721542,907289.4883282178
IND,transportation,domestic-aviation,domestic,3170781,Chhatrapati Shivaji International Airport,,1618495.6456969175,1664430.093694296,1709574.9546103769,,1005260.0525717963,1200320.3454962648,1658401.7421199456,894699.6801195431
BGD,transportation,international-aviation,international,3166291,Hazrat Shahjalal International Airport,1130939.6386886456,1209335.3626806005,1365369.2212625565,,,819928.1983411578,,1581267.289911837,887942.7530938536
SWE,transportation,international-aviation,international,3165615,Stockholm-Arlanda Airport,1586944.4698216908,1806580.438886562,1995060.4189059108,2083091.1995219511,1984334.7534200624,668087.8646564885,663554.9240268078,1506032.5635730482,886456.2502032515
USA,transportation,domestic-aviation,domestic,3170881,Baltimore/Washington International Thurgood Marshall Airport,1527285.04617791,1609732.185343435,1727374.1758490915,1760969.9725815554,,1142300.165719443,1189733.8962637065,1428926.323012154,841908.1091631348
RUS,transportation,international-aviation,international,3169266,Sheremetyevo International Airport,3534130.0694747474,,4314821.590883108,4764453.812960842,5263258.279345921,,,1157520.028173088,837785.2675028471
KEN,transportation,international-aviation,international,3168214,Jomo Kenyatta International Airport,1558434.618219377,1559546.882574325,,,1582972.9323137451,821979.4799036674,919312.4870138938,1385703.5411831578,833018.4304627994
BRA,transportation,domestic-aviation,domestic,3171726,Guarulhos - Governador André Franco Montoro International Airport,1458644.900518047,,,1549479.547805024,1610540.108047865,1012078.8283953014,,1471717.3111098914,824989.8482362552
TUR,transportation,international-aviation,international,3169002,Istanbul Sabiha Gökçen International Airport,818647.9966277442,,,,1152034.135723946,542772.9818077137,764569.7128894648,1293129.8311748067,816082.6090971709
ARE,transportation,international-aviation,international,3169084,Sharjah International Airport,987049.3090782586,,,1175553.85415082,1244624.6159252326,,962021.1012196514,1481913.059272898,815665.1384387852
CHN,transportation,domestic-aviation,domestic,3174857,Xiamen Gaoqi International Airport,,1239040.208257287,1261331.0208513732,1344368.546990742,1357341.8678585426,,1267667.2332478766,1325160.8458144732,809267.6956992147
IND,transportation,domestic-aviation,domestic,3170748,Kempegowda International Airport,774572.2797143998,,,1330044.69723302,1353297.8336952173,915154.1970662872,1103260.6198440527,1404289.3264811696,803999.0816971307
OMN,transportation,international-aviation,international,3167908,Muscat International Airport,,1483854.6699429632,1739118.9869257782,,1863856.8643431629,1094610.9865587356,437610.7868223342,1050856.500864423,759712.1615868509
USA,transportation,domestic-aviation,domestic,3171947,Washington Dulles International Airport,1286958.1595509744,1296752.69566431,,,,785972.3342225675,1001541.5926073889,1265697.1711385068,739754.6859960286
DEU,transportation,international-aviation,international,3165743,Berlin Brandenburg Airport,,,,,71.1570145941889,,,1229671.5035953142,727436.694211957
CHN,transportation,domestic-aviation,domestic,3172491,Guiyang Longdongbao International Airport,772142.9559438523,869110.3383744027,,1171776.4487759424,,,1375263.161951618,1172494.934192885,725974.0354521998
USA,transportation,domestic-aviation,domestic,3173460,Portland International Airport,1239049.3481303686,1373786.0713090242,1461962.176727371,,1517552.2081959224,818918.0252630954,1057096.7667065938,1226136.3548339684,725237.6205099839
ESP,transportation,international-aviation,international,3165505,Málaga-Costa del Sol Airport,922402.6664512772,,,1238372.650399419,1268236.0150129306,455263.3969269404,,1190147.6435976422,717566.462543867
