iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
ESP,transportation,domestic-aviation,domestic,3170624,Josep Tarradellas Barcelona-El Prat Airport,,,,,,,,,1.8421631089950803
MLT,transportation,international-aviation,international,3168008,Malta International Airport,,,,,,,,,1.7986642366923575
VNM,transportation,international-aviation,international,3166292,Da Nang International Airport,,,,,,,,,1.793613532080717
CHN,transportation,domestic-aviation,domestic,3174179,Jieyang Chaoshan International Airport,,,,,,,,,1.7770503772368187
CHN,transportation,domestic-aviation,domestic,3172160,Quanzhou Jinjiang International Airport,,,,,,,,,1.760899673486892
ZAF,transportation,domestic-aviation,domestic,3171105,Cape Town International Airport,,,,,,,,,1.7395191449223533
MEX,transportation,international-aviation,international,3168755,Aeropuerto Internacional Lic. Gustavo Díaz Ordaz,,,,,,,,,1.7064247070808545
ARM,transportation,international-aviation,international,3166566,Zvartnots International Airport,,,,,,,,,1.6990212697330231
IRN,transportation,domestic-aviation,domestic,3174311,Mehrabad International Airport,,,,,,,,,1.696056204059585
BRA,transportation,domestic-aviation,domestic,3171077,Tancredo Neves International Airport,,,,,,,,,1.6799900260514242
BGR,transportation,international-aviation,international,3169179,Sofia Airport,,,,,,,,,1.6298371909831026
CAN,transportation,domestic-aviation,domestic,3174926,Edmonton International Airport,,,,,,,,,1.610360035053965
GLP,transportation,international-aviation,international,3168727,Pointe-à-Pitre Le Raizet International  Airport,,,,,,,,,1.6079169623424006
ESP,transportation,international-aviation,international,3166671,Fuerteventura Airport,,,,,,,,,1.6066618552119485
CHN,transportation,international-aviation,international,3166234,Chengdu Shuangliu International Airport,,,,,,,,,1.555993579431667
IND,transportation,domestic-aviation,domestic,3173568,Pune Airport / Lohagaon Air Force Station,,,,,,,,,1.5426094405959174
LVA,transportation,international-aviation,international,3168885,Riga International Airport,,,,,,,,,1.5397561028731594
USA,transportation,domestic-aviation,domestic,3172903,General Mitchell International Airport,,,,,,,,,1.5284942800262666
BRB,transportation,international-aviation,international,3165766,Grantley Adams International Airport,,,,,,,,,1.5173747284784886
USA,transportation,domestic-aviation,domestic,3170860,Bob Hope Airport,,,,,,,,,1.5005149641668332
IND,transportation,domestic-aviation,domestic,3170472,Sardar Vallabh Bhai Patel International Airport,,,,,,,,,1.497917712161564
ESP,transportation,international-aviation,international,3169781,Valencia Airport,,,,,,,,,1.4754098507380728
MTQ,transportation,international-aviation,international,3166599,Martinique Aimé Césaire International Airport,,,,,,,,,1.467054580219502
GRC,transportation,international-aviation,international,3168872,Diagoras Airport,,,,,,,,,1.4467872333933414
BRA,transportation,domestic-aviation,domestic,3171555,Pinto Martins International Airport,,,,,,,,,1.436482528150789
USA,transportation,international-aviation,international,3168595,Phoenix Sky Harbor International Airport,,,,,,,,,1.4243081114917855
CIV,transportation,international-aviation,international,3165439,Félix-Houphouët-Boigny International Airport,,,,,,,,,1.41826314964717
MAC,transportation,international-aviation,international,3167945,Macau International Airport,,,,,,,,,1.368442241712473
CHN,transportation,domestic-aviation,domestic,3173235,Nantong Xingdong International Airport,,,,,,,,,1.3456635818429357
GBR,transportation,international-aviation,international,3168220,Newcastle Airport,,,,,,,,,1.3272269288061944
JPN,transportation,domestic-aviation,domestic,3173153,Chubu Centrair International Airport,,,,,,,,,1.3170516570372734
JPN,transportation,domestic-aviation,domestic,3173222,Narita International Airport,,,,,,,,,1.3094296509955017
KHM,transportation,international-aviation,international,3168657,Phnom Penh International Airport,,,,,,,,,1.3092636603479644
USA,transportation,domestic-aviation,domestic,3173338,Eppley Airfield,,,,,,,,,1.286257795098943
ABW,transportation,international-aviation,international,3165649,Queen Beatrix International Airport,,,,,,,,,1.27766145604055
CHN,transportation,international-aviation,international,3166138,Chongqing Jiangbei International Airport,,,,,,,,,1.264671218319219
CHN,transportation,domestic-aviation,domestic,3171195,Changzhou Benniu International Airport,,,,,,,,,1.2641524341427013
USA,transportation,international-aviation,international,3166248,Cincinnati Northern Kentucky International Airport,,,,,,,,,1.2578045856180609
