iso3_country,sector,subsector,asset_type,asset_id,asset_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
UZB,forestry-and-land-use,net-shrubgrass,,4556521,Uzbekistan,,,9893861.3595781,,,8159719.4420762,,,
UZB,forestry-and-land-use,net-shrubgrass,,4566481,Navoiy,,,5975898.68512711,,,,,,
UZB,power,electricity-generation,coal,25452426,Novo-Angren power station,,,,,15438000.0,13895000.0,12675000.0,12969000.0,
UZB,power,electricity-generation,gas,25452427,Syrdarya power station,,,,,9354000.0,8210000.0,8502000.0,8502000.0,
VEN,agriculture,cropland-fires,,10720981,Venezuela,1655007.23354325,,,,,,,,
VEN,forestry-and-land-use,net-shrubgrass,,4556525,Venezuela,,15964238.61877,,19726068.52301,18454095.05522,9416347.042424,,,
VEN,forestry-and-land-use,net-shrubgrass,,4566508,Anzoátegui,,,,4462784.4305432,,,,,
VEN,forestry-and-land-use,net-shrubgrass,,4566527,Guárico,,4188808.679717,,7099142.858069,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294095,Amazonas,,,,25594542.99798,6476708.25892,,,10394065.45982,
VEN,forestry-and-land-use,net-forest-land,,8294096,Anzoátegui,,,,6337666.382134,8732157.701714,,,,
VEN,forestry-and-land-use,net-forest-land,,8294097,Apure,,6290185.401123,,,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294100,Bolívar,,,,46729804.75387,,17470373.53264,,61296144.4499,
VEN,forestry-and-land-use,net-forest-land,,8294102,Cojedes,,,,8085870.416499,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294103,Delta Amacuro,,,,9876307.56944,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294106,Falcón,,,,7543844.672049,6144458.96957,,,,
VEN,forestry-and-land-use,net-forest-land,,8294107,Guárico,,,,7350643.28033,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294110,Miranda,,,,21363347.085024,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294111,Monagas,,,,17001046.138334,7553985.867175,,,,
VEN,forestry-and-land-use,net-forest-land,,8294113,Portuguesa,,,9726292.231929,,,,,,
VEN,forestry-and-land-use,net-forest-land,,8294114,Sucre,,,,,7338296.907214,,,,
VEN,forestry-and-land-use,net-forest-land,,8294118,Yaracuy,,,,4692408.944762,,7178595.517477,,,
VEN,forestry-and-land-use,net-forest-land,,8294119,Zulia,,,,19842323.958871,,,,,
VEN,forestry-and-land-use,net-forest-land,,8298137,Venezuela,,,,182171637.7953,29770964.1947,48266945.0287,,57693169.2654,
VEN,forestry-and-land-use,net-forest-land,,8395105,Autana,,,5401520.934003,,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395106,Manapiare,,,,9871269.18409,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395108,Río Negro,,,,6641743.10852,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395167,Angostura,,,,9585814.48587,,,,12748163.16232,
VEN,forestry-and-land-use,net-forest-land,,8395169,Cedeño,,,,11129764.90813,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395171,Gran Sabana,,,,,,,7597371.179187,,
VEN,forestry-and-land-use,net-forest-land,,8395174,Piar,,,,8956237.481069,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395176,Sifontes,,,,7690489.89725,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395177,Sucre,,,,4654034.26367,,9153705.87639,,34227911.94686,
VEN,forestry-and-land-use,net-forest-land,,8395194,Ezequiel Zomora,,,,4423686.0257298,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395205,Tucupita,,,,4251087.221289,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395289,Guaicaipuro,,,,4027475.0713961,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395308,Maturín,,,,11634690.049468,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395410,Nirgua,,,,6388373.3539231,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395428,Mara,,,,4007281.1921517,,,,,
VEN,forestry-and-land-use,net-forest-land,,8395431,Rosario de Perijá,,,,8012023.2746049,,,,,
VEN,forestry-and-land-use,net-wetland,,4558675,Venezuela,,6951802.632124,,,5992857.339151,8415893.865885,,,
VEN,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144168,PDVSA Paraguana Refinery Complex,9637220.926,7303293.726,6074910.989,,,,,,
VEN,fossil-fuel-operations,oil-and-gas-refining,Medium Conversion,3144169,PDVSA Puerto La Cruz Refinery,1501896.193,,,,,,,,
VNM,agriculture,cropland-fires,,10720984,Vietnam,55440460.2731281,53472594.5694527,53461102.3791873,53994543.1923086,52912508.8665757,51144256.1901114,50896617.0073295,50896617.0073295,
VNM,agriculture,cropland-fires,,10758728,An Giang,3027982.82269913,,,,,,,,
VNM,agriculture,cropland-fires,,10758792,Cà Mau,1444414.75794248,,,,,,,,
VNM,agriculture,cropland-fires,,10758871,Đồng Tháp,3252533.56048832,,,,,,,,
VNM,agriculture,cropland-fires,,10758894,Hà Nội,1777552.84135262,,,,,,,,
VNM,agriculture,cropland-fires,,10758951,Kiên Giang,3345879.94816064,,,,,,,,
VNM,agriculture,cropland-fires,,10759008,Long An,3346927.78825578,,,,,,,,
VNM,agriculture,cropland-fires,,10759016,Nam Định,1334138.43178727,,,,,,,,
VNM,agriculture,cropland-fires,,10759023,Nghệ An,1672936.21302939,,,,,,,,
VNM,agriculture,cropland-fires,,10759092,Sóc Trăng,3167676.77945432,,,,,,,,
VNM,agriculture,cropland-fires,,10759128,Thanh Hóa,2530096.41773072,,,,,,,,
VNM,agriculture,cropland-fires,,10759149,Trà Vinh,1510008.64626337,,,,,,,,
VNM,agriculture,cropland-fires,,10759163,Vĩnh Long,1412595.21625189,,,,,,,,
VNM,forestry-and-land-use,net-forest-land,,8294143,Đắk Lắk,,4168763.63435,,,,,,,
VNM,forestry-and-land-use,net-forest-land,,8294148,Gia Lai,,3658861.496906,,,,,,,
VNM,forestry-and-land-use,net-forest-land,,8294162,Lai Châu,,,,,7873971.397325,,,,
VNM,forestry-and-land-use,net-forest-land,,8294173,Quảng Bình,,,,,,13056314.37247,,,
VNM,forestry-and-land-use,net-forest-land,,8294174,Quảng Nam,,,,,,,15774287.043332,,
VNM,forestry-and-land-use,net-forest-land,,8294175,Quảng Ngãi,,,,,,,6981439.9930483,,
VNM,forestry-and-land-use,net-forest-land,,8298146,Vietnam,,15777962.10634,,,,54803016.02845,30439653.38738,,
VNM,fossil-fuel-operations,oil-and-gas-refining,Deep Conversion,3144171,Nghi Son Refinery,2820648.829,,,,,,,,
VNM,fossil-fuel-operations,oil-and-gas-refining,Medium Conversion,3144172,Petrovietnam Dung Quat Refinery,1635836.258,,,,,,,,
VNM,power,electricity-generation,coal,25453146,Hai Phong Thermal Power Station,,,,,6092000.0,,,,
