iso3_country,country,year,sector,subsector,asset_type,asset_id,asset_name,activity,emissions_quantity,emissions_factor_est,emissions_quantity_diff
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493208,Masan,1220000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493208,Masan,1220000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493208,Masan,1220000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493207,Sinchang,460000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,irrigation,25493206,Wonnam,1620000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493205,Songnae,680000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493204,Madun,640000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493203,Mugeuk,800000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,water supply,25493202,Chungju,103240000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,other,25493200,Idong,4880000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,hydroelectricity,25493199,Paldang,68300000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,water supply,25493198,Hoengsong,8020000.0,2999.4800000000005,0.00037400000000000004,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,hydroelectricity,25493197,Chongyong,21720000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2018,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2017,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2016,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2015,forestry-and-land-use,water-reservoirs,irrigation,25493196,Aeryong,280000.0,0.0,0.0,
KOR,South Korea,2022,forestry-and-land-use,water-reservoirs,hydroelectricity,25493195,Uiam,24740000.0,0.0,0.0,
KOR,South Korea,2021,forestry-and-land-use,water-reservoirs,hydroelectricity,25493195,Uiam,24740000.0,0.0,0.0,
KOR,South Korea,2020,forestry-and-land-use,water-reservoirs,hydroelectricity,25493195,Uiam,24740000.0,0.0,0.0,
KOR,South Korea,2019,forestry-and-land-use,water-reservoirs,hydroelectricity,25493195,Uiam,24740000.0,0.0,0.0,
